#{"t_start": 1762023875.3610036, "env_id": "None"}
r,l,t
-106.983835,930,3036.456023
-114.306748,1402,3047.604306
-134.026343,1517,3080.860737
135.835205,340,3083.291954
197.115176,442,3087.828321
-19.053447,810,3092.746659
122.152458,731,3099.162939
163.38379,607,3105.424473
-35.008701,1070,3114.196599
-86.939887,1077,3118.006521
-107.573533,1190,3122.036154
-50.827113,2176,3128.542475
155.911603,1257,3132.705441
152.889404,340,3133.862723
-116.504937,1081,3147.603728
119.3753,1547,3152.207769
-71.143608,1561,3156.545601
-97.296557,1045,3159.911055
150.980561,418,3161.249564
-119.066939,1699,3165.227047
-75.37491,1292,3169.161336
-119.005609,1006,3171.769419
-79.517229,1290,3183.131015
222.698521,1036,3186.544014
155.76542,340,3187.709086
80.826165,2407,3192.40534
-75.066639,1123,3195.736998
192.231773,983,3198.743091
-100.697773,1484,3203.265344
-31.374117,1626,3208.231115
89.840557,2539,3224.809752
168.553107,1093,3228.80288
170.879363,424,3230.168138
142.250342,836,3232.789299
120.270052,1193,3236.233521
203.225591,786,3238.74081
-102.268696,1391,3243.447999
174.402132,1138,3247.521836
-95.2342,1264,3250.641358
91.845391,1236,3254.399276
-139.169741,903,3267.817379
155.799694,340,3269.006558
162.273213,1097,3272.326347
195.887367,423,3273.548139
-139.657331,916,3276.365433
-119.329641,1188,3278.729654
182.257675,1362,3282.54483
-104.971345,1589,3287.062916
-139.410773,767,3289.783836
235.888787,340,3290.909482
-100.004136,1142,3294.565296
122.870922,425,3295.787511
142.678516,1012,3307.693442
150.775175,1804,3311.494503
40.482767,1857,3315.498849
127.875547,836,3318.219729
123.801804,340,3319.310824
169.870303,1183,3322.983536
123.729393,340,3324.065784
169.174273,2151,3334.261842
286.874651,2662,3371.18098
122.76346,414,3373.55248
-99.55918,1927,3377.841424
114.805607,414,3380.375145
-108.459258,1101,3386.775577
14.230734,1936,3402.394569
122.754278,1129,3411.097402
196.73645,1442,3422.718066
-138.829407,603,3426.510659
198.688104,2443,3466.87756
229.308571,1066,3475.775134
153.97387,1209,3485.574385
109.09309,1774,3499.935293
-68.516227,2173,3516.869396
143.064659,792,3523.887752
-74.799057,1869,3533.481884
-139.854744,835,3540.709268
208.519672,2303,3563.41417
17.957102,1202,3567.948811
142.627098,935,3572.061058
228.638969,1562,3577.223825
224.944193,1935,3584.597719
123.010706,414,3586.987281
-117.077474,833,3592.007135
20.731932,2434,3612.333472
332.245247,1232,3618.267503
-115.199021,1113,3627.044903
-99.244954,961,3632.538252
-129.613867,1648,3640.868887
135.874006,410,3643.751959
288.720136,1703,3656.727664
109.212831,1679,3669.108262
135.879422,340,3671.708856
187.429526,1456,3701.495018
140.800821,340,3704.036616
129.447396,1126,3712.807515
-34.634054,1027,3721.084507
-24.544011,1726,3733.959872
123.164596,414,3736.88127
180.350122,1156,3746.134816
132.518969,736,3752.779385
-47.393552,1184,3762.437204
135.755987,340,3765.066647
163.955976,1708,3775.869492
152.623023,934,3792.84464
-95.416026,1343,3798.836474
135.542956,340,3799.912563
371.744927,1870,3807.363113
113.500302,1893,3814.267197
189.32437,873,3818.626947
-105.218792,1351,3824.737225
175.647997,414,3826.243078
-85.521991,1594,3833.035245
207.950978,1514,3848.404347
169.531723,1138,3853.071236
-115.322739,941,3859.394498
-107.310826,859,3867.02512
140.783894,340,3869.497937
171.640173,1023,3878.177826
128.845776,1143,3887.624127
135.794136,340,3890.186973
133.131906,414,3893.15126
-55.755838,1401,3905.14669
-49.443048,1319,3916.052047
-64.497979,687,3922.415924
182.111342,1457,3961.990242
76.833921,2700,3975.80152
-120.764316,1924,3985.348136
-39.62388,1418,3995.97501
-80.012428,1166,4005.479209
-45.239136,2336,4022.983745
155.87217,340,4035.912554
122.924802,831,4043.608248
-95.480232,1071,4051.98275
122.762614,414,4054.858937
-79.165502,1728,4063.855967
-67.989861,2111,4069.736917
135.067474,1439,4074.326351
175.819189,340,4075.541389
122.806795,414,4077.010473
152.192844,1180,4081.987002
123.434398,340,4083.410918
169.466262,1360,4104.902535
-106.667842,1106,4110.957117
143.897053,893,4115.540851
100.81552,1861,4119.623941
135.840195,340,4120.944088
167.159254,1478,4127.764078
185.812955,340,4129.376168
-34.718612,944,4133.796981
249.108632,1799,4140.540511
129.468472,1325,4144.630331
142.221332,1470,4163.965747
166.945542,1739,4172.533354
-107.751725,1028,4177.664293
-121.41501,1147,4183.305426
-139.297978,817,4187.424447
155.717063,340,4188.979568
147.855047,1008,4193.365231
55.528773,1485,4196.597385
122.875106,413,4197.788231
119.37162,819,4200.492585
-7.352351,1383,4217.382071
149.372354,2117,4223.538137
-138.751237,738,4226.055297
64.804735,1896,4231.804334
-117.277308,1105,4235.423809
156.069172,423,4237.523685
-86.866829,917,4242.400177
-106.812295,776,4245.8313
-21.458258,1889,4250.492069
152.507789,1721,4265.577931
-91.705438,1070,4269.034213
128.836596,862,4271.880181
129.152286,1357,4276.090941
128.3538,1313,4280.203537
-49.918333,1171,4283.901479
135.706062,421,4285.166305
-9.229354,2637,4290.189642
162.457085,1370,4306.550515
-133.704993,1058,4308.90555
135.73822,340,4310.046386
289.147981,1632,4314.970118
84.62143,1509,4319.507919
-94.370303,1619,4322.845677
-116.217023,1345,4326.91716
-95.108484,1049,4330.290003
256.312982,2147,4346.760298
-118.915483,1069,4349.109363
149.81476,810,4351.884464
135.810687,414,4353.135122
135.83368,340,4354.241974
291.756828,1665,4359.165226
-127.495718,820,4361.869175
135.835912,340,4362.983389
-59.494324,1413,4365.863744
116.046384,878,4368.76206
-100.019578,933,4372.298668
222.570315,824,4375.149236
-117.211957,1221,4390.709421
5.180062,1200,4394.611721
163.542243,1102,4398.08494
143.734798,1328,4402.242128
-106.455718,1008,4405.531474
155.817093,874,4408.608671
-85.700384,1592,4413.424308
-134.201556,1025,4415.676031
136.054376,424,4416.923965
-127.611412,1270,4420.842088
127.869361,340,4431.186745
157.35081,1849,4436.61706
69.931862,1252,4440.555827
-80.190674,1040,4444.046742
182.824644,414,4445.310831
123.547447,340,4446.421818
-99.201908,1826,4449.944489
-29.735212,2136,4454.153657
45.616093,2607,4470.779617
-52.555916,1897,4476.31263
135.615568,777,4479.004813
-119.373713,1504,4482.023869
-127.262769,826,4484.763793
135.699713,414,4485.984978
-106.515833,725,4488.465621
189.179116,826,4491.384729
-89.835884,1547,4496.094575
-139.387684,885,4498.115473
-76.065198,1036,4511.134665
-114.505729,845,4513.924598
115.343936,414,4515.151023
-134.711405,925,4518.201884
-122.039137,882,4521.080878
313.044464,2109,4527.189626
-123.934892,782,4529.939643
168.850356,1246,4533.895965
10.466856,1525,4538.539358
109.111064,853,4541.384717
154.504222,1406,4556.958557
-109.113384,1250,4560.802676
207.134816,1445,4565.301415
160.544574,888,4568.264363
146.675372,1241,4572.247302
-115.575125,1562,4577.045475
-98.029622,1179,4580.902322
-116.796485,859,4583.76237
139.273211,1239,4587.535678
148.942301,1183,4600.279582
-139.227061,861,4603.110023
147.295844,1049,4606.532923
135.66044,340,4607.746579
34.877574,1598,4612.55232
-106.639537,792,4615.286052
-80.515945,1697,4620.493927
-95.192486,801,4623.19719
134.661745,864,4626.13369
122.950323,340,4627.251629
-106.557471,876,4630.119101
-74.066775,1315,4646.299516
-126.999564,874,4649.202314
163.884896,1696,4654.274759
135.76187,340,4655.383632
132.604935,414,4656.624604
-106.531142,646,4658.900812
-52.321461,2481,4663.578256
-63.141331,1860,4667.262844
-16.710826,1498,4671.722231
-90.215157,1555,4681.52642
127.575728,340,4682.668599
-16.403915,1089,4686.589318
138.262675,1894,4693.07237
108.723264,1192,4697.544722
150.72712,414,4698.837342
-102.508455,1085,4702.312255
219.397625,1890,4709.348758
-62.890683,1307,4715.28826
131.552996,1183,4736.092337
-122.662518,1055,4745.826508
122.684673,874,4753.563904
-93.762618,1379,4764.680148
108.963771,1416,4771.583942
-126.768382,984,4775.099454
114.572049,1142,4778.75855
188.904299,920,4781.985834
352.066556,1431,4786.884794
142.40879,1185,4806.664215
123.4007,340,4809.280871
152.690503,340,4812.045507
122.488792,855,4820.534225
-72.356901,1893,4833.572848
189.387174,816,4842.105364
122.864713,414,4845.542732
-67.169219,1441,4859.833682
129.466971,903,4868.263569
-87.506771,734,4875.537946
194.09178,1224,4886.327243
209.200272,1672,4900.957158
162.693095,1119,4924.743797
72.414255,2700,4942.679873
-122.664968,1183,4953.492661
155.485121,866,4961.681843
162.142181,974,4970.541829
-62.201761,2245,4984.550189
-110.137163,827,4992.379828
-107.031457,1212,5025.849247
52.664552,1112,5036.531722
-52.753915,2674,5041.754453
122.739869,425,5043.026737
-56.995424,1243,5047.289333
187.79064,1349,5051.712425
210.740481,2051,5056.574178
